graph_name,nodes,edges,initial_crossings_neato
grafo1643.10.graphml,10,9,0
grafo1644.18.graphml,18,21,2
grafo1645.21.graphml,21,23,1
grafo1646.28.graphml,28,33,2
grafo1647.30.graphml,30,33,3
grafo1648.18.graphml,18,24,3
grafo1649.20.graphml,20,22,1
grafo165.30.graphml,30,31,1
grafo1650.31.graphml,31,39,4
grafo1651.20.graphml,20,21,0
grafo1652.18.graphml,18,20,0
grafo1653.18.graphml,18,18,0
grafo1654.10.graphml,10,14,3
grafo1655.26.graphml,26,32,1
grafo1656.17.graphml,17,22,1
grafo1657.10.graphml,10,15,3
grafo1658.14.graphml,14,15,0
grafo1659.11.graphml,11,15,2
grafo166.10.graphml,10,10,0
grafo1660.19.graphml,19,23,1
grafo1661.19.graphml,19,21,1
grafo1662.14.graphml,14,20,1
grafo1663.39.graphml,39,50,10
grafo1664.26.graphml,26,32,1
grafo1665.17.graphml,17,17,0
grafo1666.19.graphml,19,28,2
grafo1667.24.graphml,24,29,2
grafo1668.33.graphml,33,41,5
grafo1669.48.graphml,48,59,7
grafo167.22.graphml,22,24,1
grafo1670.16.graphml,16,20,2
grafo1671.17.graphml,17,17,0
grafo1672.19.graphml,19,21,1
grafo1673.20.graphml,20,22,0
grafo1674.12.graphml,12,16,5
grafo1675.19.graphml,19,21,1
grafo1676.20.graphml,20,22,1
grafo1677.21.graphml,21,20,0
grafo1678.23.graphml,23,27,2
grafo1679.18.graphml,18,24,2
grafo168.31.graphml,31,40,2
grafo1680.32.graphml,32,44,7
grafo1681.54.graphml,54,74,37
grafo1682.21.graphml,21,41,28
grafo1683.11.graphml,11,19,5
grafo1684.19.graphml,19,23,0
grafo1685.23.graphml,23,23,0
grafo1686.16.graphml,16,18,2
grafo1687.30.graphml,30,32,1
grafo1688.13.graphml,13,17,2
grafo1689.31.graphml,31,34,3
grafo169.26.graphml,26,38,15
grafo1690.20.graphml,20,24,3
grafo1691.16.graphml,16,19,2
grafo1692.16.graphml,16,17,0
grafo1693.12.graphml,12,13,0
grafo1694.32.graphml,32,38,4
grafo1695.15.graphml,15,17,0
grafo1696.24.graphml,24,28,2
grafo1697.11.graphml,11,17,2
